




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (434)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
multimerin complex (GO:1990972)	2	2	.04	+	47.42	4.44E-04	1.05E-02
keratohyalin granule (GO:0036457)	4	3	.08	+	35.56	3.67E-05	1.07E-03
proteasome activator complex (GO:0008537)	3	2	.06	+	31.61	1.31E-03	2.79E-02
spherical high-density lipoprotein particle (GO:0034366)	8	5	.17	+	29.64	2.17E-07	8.57E-06
chylomicron (GO:0042627)	13	8	.27	+	29.18	4.31E-11	3.48E-09
intermediate-density lipoprotein particle (GO:0034363)	5	3	.11	+	28.45	9.02E-05	2.46E-03
prefoldin complex (GO:0016272)	7	4	.15	+	27.10	6.49E-06	2.26E-04
hemoglobin complex (GO:0005833)	11	6	.23	+	25.87	3.59E-08	1.61E-06
haptoglobin-hemoglobin complex (GO:0031838)	10	5	.21	+	23.71	9.41E-07	3.58E-05
high-density lipoprotein particle (GO:0034364)	27	12	.57	+	21.08	8.69E-14	1.95E-11
triglyceride-rich plasma lipoprotein particle (GO:0034385)	21	9	.44	+	20.32	1.78E-10	1.33E-08
very-low-density lipoprotein particle (GO:0034361)	21	9	.44	+	20.32	1.78E-10	1.29E-08
lipoprotein particle (GO:1990777)	37	13	.78	+	16.66	3.07E-13	5.16E-11
plasma lipoprotein particle (GO:0034358)	37	13	.78	+	16.66	3.07E-13	4.77E-11
low-density lipoprotein particle (GO:0034362)	15	5	.32	+	15.81	1.03E-05	3.46E-04
protein-lipid complex (GO:0032994)	40	13	.84	+	15.41	9.79E-13	1.16E-10
tetraspanin-enriched microdomain (GO:0097197)	10	3	.21	+	14.23	1.00E-03	2.24E-02
cornified envelope (GO:0001533)	60	15	1.27	+	11.85	1.28E-12	1.43E-10
